graph_id,feat,label
63,"1,0,0,0,0,0",3
64,"1,0,0,0,0,0",1
65,"1,0,0,0,0,0",2
66,"1,0,0,0,0,0",1
67,"1,0,0,0,0,0",2
68,"1,0,0,0,0,0",2
69,"1,0,0,0,0,0",2
70,"1,0,0,0,0,0",4
71,"1,0,0,0,0,0",4
72,"1,0,0,0,0,0",2
73,"1,0,0,0,0,0",0
74,"1,0,0,0,0,0",3
75,"1,0,0,0,0,0",1
76,"1,0,0,0,0,0",2
77,"1,0,0,0,0,0",0
78,"1,0,0,0,0,0",1
79,"1,0,0,0,0,0",4
80,"1,0,0,0,0,0",3
81,"1,0,0,0,0,0",2
82,"1,0,0,0,0,0",1
83,"1,0,0,0,0,0",5
84,"1,0,0,0,0,0",5
85,"1,0,0,0,0,0",3
86,"1,0,0,0,0,0",0
87,"1,0,0,0,0,0",0
88,"1,0,0,0,0,0",0
89,"1,0,0,0,0,0",0
90,"1,0,0,0,0,0",1
91,"1,0,0,0,0,0",5
92,"1,0,0,0,0,0",3
93,"1,0,0,0,0,0",4
94,"1,0,0,0,0,0",1
95,"1,0,0,0,0,0",3
96,"1,0,0,0,0,0",4
97,"1,0,0,0,0,0",1
98,"1,0,0,0,0,0",1
99,"1,0,0,0,0,0",4
100,"1,0,0,0,0,0",3
101,"1,0,0,0,0,0",1
102,"1,0,0,0,0,0",3
103,"1,0,0,0,0,0",0
104,"1,0,0,0,0,0",5
105,"1,0,0,0,0,0",5
106,"1,0,0,0,0,0",5
107,"1,0,0,0,0,0",3
108,"1,0,0,0,0,0",0
109,"1,0,0,0,0,0",0
110,"1,0,0,0,0,0",1
111,"1,0,0,0,0,0",1
112,"1,0,0,0,0,0",2
113,"1,0,0,0,0,0",2
114,"1,0,0,0,0,0",3
115,"1,0,0,0,0,0",4
116,"1,0,0,0,0,0",2
117,"1,0,0,0,0,0",2
118,"1,0,0,0,0,0",4
119,"1,0,0,0,0,0",3
120,"1,0,0,0,0,0",2
121,"1,0,0,0,0,0",0
122,"1,0,0,0,0,0",3
123,"1,0,0,0,0,0",1
124,"1,0,0,0,0,0",0
125,"1,0,0,0,0,0",2
126,"1,0,0,0,0,0",3
127,"1,0,0,0,0,0",4
128,"1,0,0,0,0,0",0
129,"1,0,0,0,0,0",0
130,"1,0,0,0,0,0",5
131,"1,0,0,0,0,0",0
132,"1,0,0,0,0,0",3
133,"1,0,0,0,0,0",0
134,"1,0,0,0,0,0",3
135,"1,0,0,0,0,0",0
136,"1,0,0,0,0,0",3
137,"1,0,0,0,0,0",4
138,"1,0,0,0,0,0",1
139,"1,0,0,0,0,0",3
140,"1,0,0,0,0,0",3
141,"1,0,0,0,0,0",5
142,"1,0,0,0,0,0",4
143,"1,0,0,0,0,0",1
144,"1,0,0,0,0,0",4
145,"1,0,0,0,0,0",1
146,"1,0,0,0,0,0",1
147,"1,0,0,0,0,0",3
148,"1,0,0,0,0,0",1
149,"1,0,0,0,0,0",3
150,"1,0,0,0,0,0",0
151,"1,0,0,0,0,0",4
152,"1,0,0,0,0,0",4
153,"1,0,0,0,0,0",2
154,"1,0,0,0,0,0",0
155,"1,0,0,0,0,0",5
156,"1,0,0,0,0,0",1
157,"1,0,0,0,0,0",2
158,"1,0,0,0,0,0",4
159,"1,0,0,0,0,0",1
160,"1,0,0,0,0,0",3
161,"1,0,0,0,0,0",5
162,"1,0,0,0,0,0",0
163,"1,0,0,0,0,0",2
164,"1,0,0,0,0,0",1
165,"1,0,0,0,0,0",3
166,"1,0,0,0,0,0",5
167,"1,0,0,0,0,0",4
168,"1,0,0,0,0,0",5
169,"1,0,0,0,0,0",1
170,"1,0,0,0,0,0",4
171,"1,0,0,0,0,0",2
172,"1,0,0,0,0,0",0
173,"1,0,0,0,0,0",0
174,"1,0,0,0,0,0",4
175,"1,0,0,0,0,0",2
176,"1,0,0,0,0,0",2
177,"1,0,0,0,0,0",2
178,"1,0,0,0,0,0",5
179,"1,0,0,0,0,0",5
180,"1,0,0,0,0,0",2
181,"1,0,0,0,0,0",0
182,"1,0,0,0,0,0",0
183,"1,0,0,0,0,0",1
184,"1,0,0,0,0,0",5
185,"1,0,0,0,0,0",3
186,"1,0,0,0,0,0",0
187,"1,0,0,0,0,0",4
188,"1,0,0,0,0,0",1
189,"1,0,0,0,0,0",5
190,"1,0,0,0,0,0",3
191,"1,0,0,0,0,0",4
192,"1,0,0,0,0,0",5
193,"1,0,0,0,0,0",1
194,"1,0,0,0,0,0",1
195,"1,0,0,0,0,0",2
196,"1,0,0,0,0,0",1
197,"1,0,0,0,0,0",4
198,"1,0,0,0,0,0",4
199,"1,0,0,0,0,0",4
200,"1,0,0,0,0,0",4
201,"1,0,0,0,0,0",5
202,"1,0,0,0,0,0",5
203,"1,0,0,0,0,0",4
204,"1,0,0,0,0,0",1
205,"1,0,0,0,0,0",1
206,"1,0,0,0,0,0",2
207,"1,0,0,0,0,0",0
208,"1,0,0,0,0,0",1
209,"1,0,0,0,0,0",5
210,"1,0,0,0,0,0",4
211,"1,0,0,0,0,0",5
212,"1,0,0,0,0,0",4
213,"1,0,0,0,0,0",4
214,"1,0,0,0,0,0",3
215,"1,0,0,0,0,0",0
216,"1,0,0,0,0,0",3
217,"1,0,0,0,0,0",5
218,"1,0,0,0,0,0",0
219,"1,0,0,0,0,0",1
220,"1,0,0,0,0,0",3
221,"1,0,0,0,0,0",3
222,"1,0,0,0,0,0",3
223,"1,0,0,0,0,0",2
224,"1,0,0,0,0,0",2
225,"1,0,0,0,0,0",2
226,"1,0,0,0,0,0",2
227,"1,0,0,0,0,0",5
228,"1,0,0,0,0,0",1
229,"1,0,0,0,0,0",5
230,"1,0,0,0,0,0",5
231,"1,0,0,0,0,0",3
232,"1,0,0,0,0,0",5
233,"1,0,0,0,0,0",0
234,"1,0,0,0,0,0",4
235,"1,0,0,0,0,0",1
236,"1,0,0,0,0,0",2
237,"1,0,0,0,0,0",0
238,"1,0,0,0,0,0",2
239,"1,0,0,0,0,0",4
240,"1,0,0,0,0,0",2
